DATE_STRIN,LATITUDE,LONGITUDE,PENUMBRAL,PARTIAL ECLIPSE,DURATION
0120/2/2,18N,179E,330.5,164,-
0120/7/28,20S,5E,293.6,172.2,-
0121/1/21,21N,180W,175.7,-,-
0121/6/18,22S,136W,203.4,-,-
0121/7/17,23S,110E,166.5,-,-
0121/12/11,22N,40E,289.9,104.4,-
0122/6/7,22S,58E,335.2,198.3,-
0122/12/1,22N,126W,325.9,211.2,92.9
0123/5/28,21S,0W,366.4,225.6,82.7
0123/11/21,20N,4E,302.3,183.1,-
0124/5/16,20S,10W,278.4,-,-
0124/11/9,18N,140E,212.5,-,-
0125/4/5,5S,80E,270,85.2,-
0125/9/30,2N,132W,297.4,85,-
0126/3/26,1S,135W,318.4,209.4,92.9
0126/9/19,2S,137W,373.8,229.3,90.6
0127/3/16,2N,25W,299.7,179.8,-
0127/9/8,6S,150W,346.4,200.6,-
0128/2/4,18N,52W,129.2,-,-
0128/3/4,5N,119E,186.2,-,-
0128/7/29,21S,114W,120,-,-
0128/8/27,10S,98E,219.9,-,-
0129/1/23,20N,109W,322.1,135.4,-
0129/7/19,22S,0E,283.1,155.6,-
0130/1/12,22N,99W,375.6,232.8,101
0130/7/8,23S,110E,325.4,215.1,100.3
0131/1/1,23N,135W,332.5,185.3,-
0131/6/28,23S,76W,295,129.2,-
0131/11/22,22N,109W,86.3,-,-
0131/12/21,22N,80E,206.8,-,-
0132/5/17,20S,62E,247.2,-,-
0132/11/11,18N,16E,269.5,119.4,-
0133/5/6,17S,47E,353.3,211.5,41.8
0133/10/31,14N,166E,334.6,214.5,92.6
0134/4/26,13S,53W,333.3,207.7,64.1
0134/10/20,10N,46E,339.8,191.5,-
0135/3/17,1N,134W,103.7,-,-
0135/4/15,8S,106E,230.2,-,-
0135/10/10,5N,29E,228.1,-,-
0136/3/6,5N,20W,279.2,137,-
0136/8/29,9S,97W,282.1,61,-
0137/2/23,10N,149E,344.5,221.7,100.7
0137/8/18,14S,118E,330.1,213.9,92.8
0138/2/12,14N,64E,334.3,170.7,-
0138/8/8,17S,113W,298.2,179.9,-
0139/2/1,19N,65E,185.2,-,-
0139/6/29,22S,115E,182,-,-
0139/7/29,21S,4W,186.1,-,-
0139/12/23,23N,86W,288.5,104.3,-
0140/6/18,23S,44W,329.9,186.9,-
0140/12/11,23N,102E,325,210.8,92.8
0141/6/7,23S,96W,370.2,231.1,96.1
0141/12/1,23N,129W,302.5,183.3,-
0142/5/27,22S,107W,294.3,68.4,-
0142/11/21,21N,9E,213.5,-,-
0143/4/17,9S,32W,258.3,44.1,-
0143/10/11,6N,110E,294.4,67,-
0144/4/5,6S,107E,316.1,207,87.7
0144/9/29,2N,109E,372.8,227.1,84.9
0145/3/26,2S,146W,303.6,186.1,-
0145/9/18,2S,96E,348.4,205,-
0146/2/14,15N,172W,110.3,-,-
0146/3/16,1N,1E,199.3,-,-
0146/8/9,18S,130E,87.2,-,-
0146/9/8,5S,21W,230.2,-,-
0147/2/3,18N,135E,318.8,127,-
0147/7/30,20S,115W,276.5,142.7,-
0148/1/23,20N,144E,374.4,232,99.8
0148/7/19,21S,2W,326.6,215.5,100.3
0149/1/11,21N,101E,331.9,186.8,-
0149/7/8,22S,180E,306.2,149.9,-
0149/12/2,24N,119E,86.7,-,-
0150/1/1,22N,49W,207.8,-,-
0150/5/29,23S,34W,221.8,-,-
0150/6/27,22S,108E,46.9,-,-
0150/11/22,21N,117W,269.4,118.1,-
0151/5/18,20S,53W,346.2,201.4,-
0151/11/11,18N,37E,335.8,214.7,92.1
0152/5/6,16S,160W,335.1,212.7,80.6
0152/10/31,14N,76W,342.1,193.2,-
0153/3/27,4S,106E,67.6,-,-
0153/4/26,12S,8W,242.3,28.7,-
0153/10/20,9N,88W,234.5,-,-
0154/3/17,1N,141W,273.8,124.9,-
0154/9/9,5S,149E,274,-,-
