DATE_STRIN,ECLIPSE_TYPE,MAGNITUD,LATITUDE,LONGITUDE,DURATION,EVENT
1976/11/15,A,0.9891,68.9S,51.4E,00m46s,solar_eclipse
1977/5/10,T,1.0238,37.5N,118.6W,02m10s,solar_eclipse
1977/11/4,A,0.9431,21.1S,32.2W,06m55s,solar_eclipse
1978/4/30,T,1.0685,9.7S,35.2E,06m19s,solar_eclipse
1978/10/24,A,0.9175,24.0N,25.8W,10m35s,solar_eclipse
1979/3/21,P,0.2084,71.8N,166.7E,,solar_eclipse
1979/4/20,P,0.7577,71.0S,169.8W,,solar_eclipse
1979/10/13,P,0.5123,71.6N,31.2E,,solar_eclipse
1980/3/10,A,0.9864,41.4N,56.7E,01m15s,solar_eclipse
1980/9/2,T,1.0267,45.5S,17.7E,02m08s,solar_eclipse
1981/2/27,A,0.9424,7.6S,3.1E,07m23s,solar_eclipse
1981/8/23,T,1.0675,6.6N,160.4E,06m08s,solar_eclipse
1982/2/16,A,0.9272,55.0S,24.7E,06m55s,solar_eclipse
1982/8/12,T,1.047,53.0N,70.7W,03m27s,solar_eclipse
1983/1/7,P,0.1238,67.2N,176.0W,,solar_eclipse
1983/2/5,P,0.3299,69.9S,117.8E,,solar_eclipse
1983/7/3,P,0.4139,66.5S,86.7W,,solar_eclipse
1983/8/2,P,0.2399,69.2N,116.2W,,solar_eclipse
1983/12/27,T,1.029,24.5N,4.7E,02m44s,solar_eclipse
1984/6/21,A,0.9466,12.1S,124.9W,07m19s,solar_eclipse
1984/12/16,T,1.0451,19.7S,126.9E,04m10s,solar_eclipse
1985/6/11,A,0.9636,33.6N,145.9W,04m04s,solar_eclipse
1985/12/5,H,1.0042,59.5S,104.5W,00m19s,solar_eclipse
1986/5/31,H,1.0022,75.5N,24.1E,00m08s,solar_eclipse
1986/11/25,P,0.3327,63.3S,3.8E,,solar_eclipse
1987/4/21,T,1.0647,44.1S,60.2E,04m34s,solar_eclipse
1987/10/15,A,0.9136,52.2N,94.1E,07m44s,solar_eclipse
1988/4/10,T,1.0625,1.0S,137.2E,05m15s,solar_eclipse
